Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,7.531158e-01,5.392946e-05,8.047835e-11,-5.39295e-05,0.000000e+00,
1.000000e-02,1.000000e-02,0.000000e+00,1.000000e+00,7.537295e-01,5.355970e-05,7.889332e-11,-5.35598e-05,0.000000e+00,
2.000000e-02,2.000000e-02,0.000000e+00,1.000000e+00,7.543443e-01,5.319075e-05,7.733494e-11,-5.31908e-05,0.000000e+00,
3.000000e-02,3.000000e-02,0.000000e+00,1.000000e+00,7.549622e-01,5.282246e-05,7.580319e-11,-5.28225e-05,0.000000e+00,
4.000000e-02,4.000000e-02,0.000000e+00,1.000000e+00,7.555817e-01,5.245477e-05,7.429751e-11,-5.24548e-05,0.000000e+00,
5.000000e-02,5.000000e-02,0.000000e+00,1.000000e+00,7.562029e-01,5.208761e-05,7.281756e-11,-5.20877e-05,0.000000e+00,
6.000000e-02,6.000000e-02,0.000000e+00,1.000000e+00,7.568259e-01,5.172090e-05,7.136304e-11,-5.17210e-05,0.000000e+00,
7.000000e-02,7.000000e-02,0.000000e+00,1.000000e+00,7.574507e-01,5.135458e-05,6.993361e-11,-5.13546e-05,0.000000e+00,
8.000000e-02,8.000000e-02,0.000000e+00,1.000000e+00,7.580773e-01,5.098858e-05,6.852895e-11,-5.09887e-05,0.000000e+00,
9.000000e-02,9.000000e-02,0.000000e+00,1.000000e+00,7.587057e-01,5.062286e-05,6.714872e-11,-5.06229e-05,0.000000e+00,
1.000000e-01,1.000000e-01,0.000000e+00,1.000000e+00,7.593359e-01,5.025735e-05,6.579261e-11,-5.02574e-05,0.000000e+00,
1.100000e-01,1.100000e-01,0.000000e+00,1.000000e+00,7.599679e-01,4.989201e-05,6.446029e-11,-4.98921e-05,0.000000e+00,
1.200000e-01,1.200000e-01,0.000000e+00,1.000000e+00,7.606018e-01,4.952678e-05,6.315143e-11,-4.95268e-05,0.000000e+00,
1.300000e-01,1.300000e-01,0.000000e+00,1.000000e+00,7.612371e-01,4.916162e-05,6.186568e-11,-4.91617e-05,0.000000e+00,
1.400000e-01,1.400000e-01,0.000000e+00,1.000000e+00,7.618748e-01,4.879644e-05,6.060283e-11,-4.87965e-05,0.000000e+00,
