Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.34474e-18,2.009790e-31,-4.01914e-31,2.009790e-31,0.000000e+00,
1.000000e-02,0.000000e+00,0.000000e+00,1.000000e-02,5.135570e-03,2.451474e-12,1.580315e-18,-2.45148e-12,0.000000e+00,
2.000000e-02,0.000000e+00,0.000000e+00,2.000000e-02,1.054047e-02,6.001514e-12,3.292939e-18,-6.00152e-12,0.000000e+00,
3.000000e-02,0.000000e+00,0.000000e+00,3.000000e-02,1.620824e-02,1.092949e-11,5.146202e-18,-1.09295e-11,0.000000e+00,
4.000000e-02,0.000000e+00,0.000000e+00,4.000000e-02,2.212704e-02,1.758113e-11,7.147123e-18,-1.75811e-11,0.000000e+00,
5.000000e-02,0.000000e+00,0.000000e+00,5.000000e-02,2.828627e-02,2.642780e-11,9.303436e-18,-2.64278e-11,0.000000e+00,
6.000000e-02,0.000000e+00,0.000000e+00,6.000000e-02,3.466653e-02,3.815389e-11,1.161992e-17,-3.81539e-11,0.000000e+00,
7.000000e-02,0.000000e+00,0.000000e+00,7.000000e-02,4.125253e-02,5.374330e-11,1.410273e-17,-5.37433e-11,0.000000e+00,
8.000000e-02,0.000000e+00,0.000000e+00,8.000000e-02,4.803098e-02,7.455849e-11,1.675876e-17,-7.45585e-11,0.000000e+00,
9.000000e-02,0.000000e+00,0.000000e+00,9.000000e-02,5.498296e-02,1.024366e-10,1.959262e-17,-1.02437e-10,0.000000e+00,
1.000000e-01,0.000000e+00,0.000000e+00,1.000000e-01,6.209399e-02,1.398193e-10,2.261046e-17,-1.39819e-10,0.000000e+00,
1.100000e-01,0.000000e+00,0.000000e+00,1.100000e-01,6.935364e-02,1.899369e-10,2.582022e-17,-1.89937e-10,0.000000e+00,
1.200000e-01,0.000000e+00,0.000000e+00,1.200000e-01,7.674612e-02,2.570649e-10,2.922752e-17,-2.57065e-10,0.000000e+00,
1.300000e-01,0.000000e+00,0.000000e+00,1.300000e-01,8.426407e-02,3.468360e-10,3.284210e-17,-3.46836e-10,0.000000e+00,
1.400000e-01,0.000000e+00,0.000000e+00,1.400000e-01,9.189577e-02,4.666750e-10,3.667227e-17,-4.66675e-10,0.000000e+00,
1.500000e-01,0.000000e+00,0.000000e+00,1.500000e-01,9.963132e-02,6.263350e-10,4.072851e-17,-6.26335e-10,0.000000e+00,
1.600000e-01,0.000000e+00,0.000000e+00,1.600000e-01,1.074653e-01,8.385789e-10,4.502825e-17,-8.38579e-10,0.000000e+00,
1.700000e-01,0.000000e+00,0.000000e+00,1.700000e-01,1.153904e-01,1.120081e-09,4.959345e-17,-1.12008e-09,0.000000e+00,
1.800000e-01,0.000000e+00,0.000000e+00,1.800000e-01,1.234004e-01,1.492542e-09,5.443636e-17,-1.49254e-09,0.000000e+00,
1.900000e-01,0.000000e+00,0.000000e+00,1.900000e-01,1.314903e-01,1.984116e-09,5.957226e-17,-1.98412e-09,0.000000e+00,
2.000000e-01,0.000000e+00,0.000000e+00,2.000000e-01,1.396548e-01,2.631215e-09,6.502410e-17,-2.63121e-09,0.000000e+00,
2.100000e-01,0.000000e+00,0.000000e+00,2.100000e-01,1.478826e-01,3.480893e-09,7.081674e-17,-3.48089e-09,0.000000e+00,
2.200000e-01,0.000000e+00,0.000000e+00,2.200000e-01,1.561834e-01,4.593269e-09,7.699681e-17,-4.59327e-09,0.000000e+00,
2.300000e-01,0.000000e+00,0.000000e+00,2.300000e-01,1.645399e-01,6.045903e-09,8.360190e-17,-6.04590e-09,0.000000e+00,
