Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.002156e-08,-3.33067e-15,-1.00205e-08,-1.03959e-12,
1.000000e-02,1.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,9.311473e-09,-3.33067e-15,-9.31044e-09,-1.02934e-12,
2.000000e-02,2.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,8.655964e-09,-3.10862e-15,-8.65494e-09,-1.01921e-12,
3.000000e-02,3.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,8.050684e-09,-3.10862e-15,-8.04967e-09,-1.00908e-12,
4.000000e-02,4.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,7.491629e-09,-2.88658e-15,-7.49063e-09,-9.98979e-13,
5.000000e-02,5.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,6.975112e-09,-2.88658e-15,-6.97412e-09,-9.88959e-13,
6.000000e-02,6.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,6.497735e-09,-2.66454e-15,-6.49675e-09,-9.79022e-13,
7.000000e-02,7.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,6.056375e-09,-2.66454e-15,-6.05540e-09,-9.68947e-13,
8.000000e-02,8.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,5.648155e-09,-2.22045e-15,-5.64719e-09,-9.58844e-13,
9.000000e-02,9.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00,5.270429e-09,-2.22045e-15,-5.26948e-09,-9.48991e-13,
1.000000e-01,1.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.920764e-09,-1.99840e-15,-4.91982e-09,-9.38943e-13,
1.100000e-01,1.100000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.596923e-09,-1.77636e-15,-4.59599e-09,-9.28924e-13,
1.200000e-01,1.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.296850e-09,-1.77636e-15,-4.29593e-09,-9.18959e-13,
1.300000e-01,1.300000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.018655e-09,-1.77636e-15,-4.01774e-09,-9.08912e-13,
1.400000e-01,1.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00,3.760603e-09,-1.77636e-15,-3.75970e-09,-8.98948e-13,
1.500000e-01,1.500000e-01,1.000000e+00,1.000000e+00,1.000000e+00,3.521099e-09,-1.55431e-15,-3.52021e-09,-8.88956e-13,
1.600000e-01,1.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00,3.298678e-09,-1.33227e-15,-3.29780e-09,-8.78880e-13,
1.700000e-01,1.700000e-01,1.000000e+00,1.000000e+00,1.000000e+00,3.091997e-09,-1.33227e-15,-3.09113e-09,-8.68972e-13,
1.800000e-01,1.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.899820e-09,-1.33227e-15,-2.89896e-09,-8.58924e-13,
1.900000e-01,1.900000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.721015e-09,-1.33227e-15,-2.72016e-09,-8.48932e-13,
2.000000e-01,2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.554542e-09,-1.33227e-15,-2.55370e-09,-8.38912e-13,
2.100000e-01,2.100000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.399447e-09,-1.33227e-15,-2.39862e-09,-8.28837e-13,
2.200000e-01,2.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.254854e-09,-8.88178e-16,-2.25403e-09,-8.18845e-13,
2.300000e-01,2.300000e-01,1.000000e+00,1.000000e+00,1.000000e+00,2.119960e-09,-8.88178e-16,-2.11915e-09,-8.08936e-13,
2.400000e-01,2.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.994027e-09,-8.88178e-16,-1.99323e-09,-7.98861e-13,
2.500000e-01,2.500000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.876380e-09,-8.88178e-16,-1.87559e-09,-7.88869e-13,
2.600000e-01,2.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.766398e-09,-8.88178e-16,-1.76562e-09,-7.78932e-13,
2.700000e-01,2.700000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.663511e-09,-8.88178e-16,-1.66274e-09,-7.68913e-13,
2.800000e-01,2.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.567196e-09,-8.88178e-16,-1.56644e-09,-7.58948e-13,
2.900000e-01,2.900000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.476973e-09,-8.88178e-16,-1.47622e-09,-7.48901e-13,
3.000000e-01,3.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.392402e-09,-6.66134e-16,-1.39166e-09,-7.38937e-13,
3.100000e-01,3.100000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.313078e-09,-2.22045e-16,-1.31235e-09,-7.28889e-13,
3.200000e-01,3.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.238628e-09,-2.22045e-16,-1.23791e-09,-7.18925e-13,
3.300000e-01,3.300000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.168712e-09,-6.66134e-16,-1.16800e-09,-7.08877e-13,
3.400000e-01,3.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.103014e-09,-2.22045e-16,-1.10231e-09,-6.98885e-13,
3.500000e-01,3.500000e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.041246e-09,-6.66134e-16,-1.04056e-09,-6.88866e-13,
3.600000e-01,3.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00,9.831403e-10,-2.22045e-16,-9.82461e-10,-6.78790e-13,
3.700000e-01,3.700000e-01,1.000000e+00,1.000000e+00,1.000000e+00,9.284529e-10,-6.66134e-16,-9.27784e-10,-6.68854e-13,
3.800000e-01,3.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00,8.769573e-10,-2.22045e-16,-8.76298e-10,-6.58917e-13,
3.900000e-01,3.900000e-01,1.000000e+00,1.000000e+00,1.000000e+00,8.284451e-10,-2.22045e-16,-8.27796e-10,-6.48870e-13,
4.000000e-01,4.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.827236e-10,-2.22045e-16,-7.82084e-10,-6.38933e-13,
4.100000e-01,4.100000e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.396151e-10,-2.22045e-16,-7.38986e-10,-6.28969e-13,
4.200000e-01,4.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.989549e-10,-2.22045e-16,-6.98336e-10,-6.18922e-13,
4.300000e-01,4.300000e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.605907e-10,-2.22045e-16,-6.59982e-10,-6.08874e-13,
4.400000e-01,4.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.243814e-10,-2.22045e-16,-6.23782e-10,-5.98993e-13,
4.500000e-01,4.500000e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.901961e-10,-2.22045e-16,-5.89607e-10,-5.88973e-13,
4.600000e-01,4.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.579130e-10,-2.22045e-16,-5.57334e-10,-5.78926e-13,
4.700000e-01,4.700000e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.274192e-10,-2.22045e-16,-5.26850e-10,-5.68962e-13,
4.800000e-01,4.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.986093e-10,-2.22045e-16,-4.98050e-10,-5.58859e-13,
4.900000e-01,4.900000e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.713852e-10,-2.22045e-16,-4.70836e-10,-5.48894e-13,
