Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.09772e-08,1.119773e-10,4.086414e-08,1.078028e-12,
1.000000e-02,1.000000e+00,0.000000e+00,1.000000e-02,0.000000e+00,-3.02535e-08,1.119938e-10,3.014038e-08,1.106438e-12,
2.000000e-02,1.000000e+00,0.000000e+00,2.000000e-02,0.000000e+00,-2.23042e-08,1.120131e-10,2.219105e-08,1.130146e-12,
3.000000e-02,1.000000e+00,0.000000e+00,3.000000e-02,0.000000e+00,-1.64247e-08,1.120353e-10,1.631149e-08,1.150274e-12,
4.000000e-02,1.000000e+00,0.000000e+00,4.000000e-02,0.000000e+00,-1.20849e-08,1.120606e-10,1.197163e-08,1.167712e-12,
5.000000e-02,1.000000e+00,0.000000e+00,5.000000e-02,0.000000e+00,-8.88751e-09,1.120892e-10,8.774242e-09,1.183153e-12,
6.000000e-02,1.000000e+00,0.000000e+00,6.000000e-02,0.000000e+00,-6.53590e-09,1.121212e-10,6.422577e-09,1.197119e-12,
7.000000e-02,1.000000e+00,0.000000e+00,7.000000e-02,0.000000e+00,-4.80900e-09,1.121569e-10,4.695634e-09,1.210008e-12,
8.000000e-02,1.000000e+00,0.000000e+00,8.000000e-02,0.000000e+00,-3.54268e-09,1.121964e-10,3.429264e-09,1.222111e-12,
9.000000e-02,1.000000e+00,0.000000e+00,9.000000e-02,0.000000e+00,-2.61532e-09,1.122401e-10,2.501847e-09,1.233632e-12,
1.000000e-01,1.000000e+00,0.000000e+00,1.000000e-01,0.000000e+00,-1.93701e-09,1.122880e-10,1.823475e-09,1.244732e-12,
1.100000e-01,1.000000e+00,0.000000e+00,1.100000e-01,0.000000e+00,-1.44141e-09,1.123405e-10,1.327816e-09,1.255527e-12,
1.200000e-01,1.000000e+00,0.000000e+00,1.200000e-01,0.000000e+00,-1.07969e-09,1.123978e-10,9.660258e-10,1.266103e-12,
1.300000e-01,1.000000e+00,0.000000e+00,1.300000e-01,0.000000e+00,-8.15929e-10,1.124601e-10,7.021928e-10,1.276519e-12,
1.400000e-01,1.000000e+00,0.000000e+00,1.400000e-01,0.000000e+00,-6.23772e-10,1.125277e-10,5.099578e-10,1.286820e-12,
1.500000e-01,1.000000e+00,0.000000e+00,1.500000e-01,0.000000e+00,-4.83896e-10,1.126009e-10,3.699984e-10,1.297037e-12,
1.600000e-01,1.000000e+00,0.000000e+00,1.600000e-01,0.000000e+00,-3.82156e-10,1.126800e-10,2.681691e-10,1.307195e-12,
1.700000e-01,1.000000e+00,0.000000e+00,1.700000e-01,0.000000e+00,-3.08209e-10,1.127653e-10,1.941263e-10,1.317309e-12,
1.800000e-01,1.000000e+00,0.000000e+00,1.800000e-01,0.000000e+00,-2.54499e-10,1.128570e-10,1.403145e-10,1.327391e-12,
1.900000e-01,1.000000e+00,0.000000e+00,1.900000e-01,0.000000e+00,-2.15513e-10,1.129555e-10,1.012204e-10,1.337450e-12,
2.000000e-01,1.000000e+00,0.000000e+00,2.000000e-01,0.000000e+00,-1.87233e-10,1.130612e-10,7.282453e-11,1.347493e-12,
2.100000e-01,1.000000e+00,0.000000e+00,2.100000e-01,0.000000e+00,-1.66731e-10,1.131744e-10,5.219894e-11,1.357525e-12,
2.200000e-01,1.000000e+00,0.000000e+00,2.200000e-01,0.000000e+00,-1.51876e-10,1.132955e-10,3.721259e-11,1.367547e-12,
2.300000e-01,1.000000e+00,0.000000e+00,2.300000e-01,0.000000e+00,-1.41118e-10,1.134248e-10,2.631551e-11,1.377563e-12,
2.400000e-01,1.000000e+00,0.000000e+00,2.400000e-01,0.000000e+00,-1.33331e-10,1.135627e-10,1.838115e-11,1.387575e-12,
2.500000e-01,1.000000e+00,0.000000e+00,2.500000e-01,0.000000e+00,-1.27699e-10,1.137097e-10,1.259123e-11,1.397584e-12,
2.600000e-01,1.000000e+00,0.000000e+00,2.600000e-01,0.000000e+00,-1.23625e-10,1.138662e-10,8.351711e-12,1.407590e-12,
2.700000e-01,1.000000e+00,0.000000e+00,2.700000e-01,0.000000e+00,-1.20682e-10,1.140326e-10,5.231564e-12,1.417594e-12,
2.800000e-01,1.000000e+00,0.000000e+00,2.800000e-01,0.000000e+00,-1.18555e-10,1.142094e-10,2.918189e-12,1.427597e-12,
2.900000e-01,1.000000e+00,0.000000e+00,2.900000e-01,0.000000e+00,-1.17020e-10,1.143971e-10,1.184950e-12,1.437600e-12,
3.000000e-01,1.000000e+00,0.000000e+00,3.000000e-01,0.000000e+00,-1.15911e-10,1.145961e-10,-1.32425e-13,1.447601e-12,
3.100000e-01,1.000000e+00,0.000000e+00,3.100000e-01,0.000000e+00,-1.15112e-10,1.148071e-10,-1.15299e-12,1.457602e-12,
3.200000e-01,1.000000e+00,0.000000e+00,3.200000e-01,0.000000e+00,-1.14535e-10,1.150305e-10,-1.96302e-12,1.467603e-12,
3.300000e-01,1.000000e+00,0.000000e+00,3.300000e-01,0.000000e+00,-1.14119e-10,1.152668e-10,-2.62510e-12,1.477604e-12,
3.400000e-01,1.000000e+00,0.000000e+00,3.400000e-01,0.000000e+00,-1.13820e-10,1.155168e-10,-3.18460e-12,1.487604e-12,
3.500000e-01,1.000000e+00,0.000000e+00,3.500000e-01,0.000000e+00,-1.13604e-10,1.157810e-10,-3.67451e-12,1.497605e-12,
3.600000e-01,1.000000e+00,0.000000e+00,3.600000e-01,0.000000e+00,-1.13449e-10,1.160599e-10,-4.11883e-12,1.507605e-12,
