Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-2.67367e-04,-6.52858e-10,2.673667e-04,4.747177e-10,
1.000000e-02,1.000000e+00,1.000000e+00,1.000000e-02,0.000000e+00,-2.61398e-04,-5.79492e-10,2.613983e-04,4.103030e-10,
2.000000e-02,1.000000e+00,1.000000e+00,2.000000e-02,0.000000e+00,-2.55438e-04,-5.14538e-10,2.554384e-04,3.539248e-10,
3.000000e-02,1.000000e+00,1.000000e+00,3.000000e-02,0.000000e+00,-2.49487e-04,-4.57120e-10,2.494873e-04,3.047223e-10,
4.000000e-02,1.000000e+00,1.000000e+00,4.000000e-02,0.000000e+00,-2.43545e-04,-4.06431e-10,2.435452e-04,2.619012e-10,
5.000000e-02,1.000000e+00,1.000000e+00,5.000000e-02,0.000000e+00,-2.37612e-04,-3.61728e-10,2.376121e-04,2.247333e-10,
6.000000e-02,1.000000e+00,1.000000e+00,6.000000e-02,0.000000e+00,-2.31688e-04,-3.22334e-10,2.316884e-04,1.925542e-10,
7.000000e-02,1.000000e+00,1.000000e+00,7.000000e-02,0.000000e+00,-2.25774e-04,-2.87636e-10,2.257742e-04,1.647616e-10,
8.000000e-02,1.000000e+00,1.000000e+00,8.000000e-02,0.000000e+00,-2.19870e-04,-2.57078e-10,2.198698e-04,1.408123e-10,
9.000000e-02,1.000000e+00,1.000000e+00,9.000000e-02,0.000000e+00,-2.13975e-04,-2.30163e-10,2.139753e-04,1.202190e-10,
1.000000e-01,1.000000e+00,1.000000e+00,1.000000e-01,0.000000e+00,-2.08091e-04,-2.06444e-10,2.080910e-04,1.025469e-10,
1.100000e-01,1.000000e+00,1.000000e+00,1.100000e-01,0.000000e+00,-2.02217e-04,-1.85525e-10,2.022173e-04,8.740994e-11,
1.200000e-01,1.000000e+00,1.000000e+00,1.200000e-01,0.000000e+00,-1.96354e-04,-1.67054e-10,1.963544e-04,7.446693e-11,
1.300000e-01,1.000000e+00,1.000000e+00,1.300000e-01,0.000000e+00,-1.90503e-04,-1.50724e-10,1.905026e-04,6.341762e-11,
1.400000e-01,1.000000e+00,1.000000e+00,1.400000e-01,0.000000e+00,-1.84662e-04,-1.36260e-10,1.846624e-04,5.399889e-11,
1.500000e-01,1.000000e+00,1.000000e+00,1.500000e-01,0.000000e+00,-1.78834e-04,-1.23424e-10,1.788341e-04,4.598103e-11,
1.600000e-01,1.000000e+00,1.000000e+00,1.600000e-01,0.000000e+00,-1.73018e-04,-1.12008e-10,1.730182e-04,3.916420e-11,
1.700000e-01,1.000000e+00,1.000000e+00,1.700000e-01,0.000000e+00,-1.67215e-04,-1.01831e-10,1.672153e-04,3.337513e-11,
1.800000e-01,1.000000e+00,1.000000e+00,1.800000e-01,0.000000e+00,-1.61426e-04,-9.27334e-11,1.614261e-04,2.846401e-11,
1.900000e-01,1.000000e+00,1.000000e+00,1.900000e-01,0.000000e+00,-1.55651e-04,-8.45796e-11,1.556512e-04,2.430167e-11,
2.000000e-01,1.000000e+00,1.000000e+00,2.000000e-01,0.000000e+00,-1.49892e-04,-7.72508e-11,1.498917e-04,2.077702e-11,
2.100000e-01,1.000000e+00,1.000000e+00,2.100000e-01,0.000000e+00,-1.44148e-04,-7.06442e-11,1.441484e-04,1.779472e-11,
2.200000e-01,1.000000e+00,1.000000e+00,2.200000e-01,0.000000e+00,-1.38423e-04,-6.46716e-11,1.384228e-04,1.527313e-11,
2.300000e-01,1.000000e+00,1.000000e+00,2.300000e-01,0.000000e+00,-1.32716e-04,-5.92564e-11,1.327162e-04,1.314247e-11,
2.400000e-01,1.000000e+00,1.000000e+00,2.400000e-01,0.000000e+00,-1.27030e-04,-5.43324e-11,1.270304e-04,1.134320e-11,
2.500000e-01,1.000000e+00,1.000000e+00,2.500000e-01,0.000000e+00,-1.21367e-04,-4.98429e-11,1.213675e-04,9.824566e-12,
2.600000e-01,1.000000e+00,1.000000e+00,2.600000e-01,0.000000e+00,-1.15730e-04,-4.57389e-11,1.157300e-04,8.543406e-12,
2.700000e-01,1.000000e+00,1.000000e+00,2.700000e-01,0.000000e+00,-1.10121e-04,-4.19773e-11,1.101209e-04,7.463033e-12,
2.800000e-01,1.000000e+00,1.000000e+00,2.800000e-01,0.000000e+00,-1.04544e-04,-3.85222e-11,1.045436e-04,6.552307e-12,
2.900000e-01,1.000000e+00,1.000000e+00,2.900000e-01,0.000000e+00,-9.90023e-05,-3.53411e-11,9.900237e-05,5.784827e-12,
3.000000e-01,1.000000e+00,1.000000e+00,3.000000e-01,0.000000e+00,-9.35022e-05,-3.24071e-11,9.350219e-05,5.138226e-12,
3.100000e-01,1.000000e+00,1.000000e+00,3.100000e-01,0.000000e+00,-8.80488e-05,-2.96961e-11,8.804887e-05,4.593578e-12,
3.200000e-01,1.000000e+00,1.000000e+00,3.200000e-01,0.000000e+00,-8.26493e-05,-2.71870e-11,8.264928e-05,4.134878e-12,
3.300000e-01,1.000000e+00,1.000000e+00,3.300000e-01,0.000000e+00,-7.73114e-05,-2.48626e-11,7.731144e-05,3.748607e-12,
3.400000e-01,1.000000e+00,1.000000e+00,3.400000e-01,0.000000e+00,-7.20447e-05,-2.27059e-11,7.204467e-05,3.423352e-12,
3.500000e-01,1.000000e+00,1.000000e+00,3.500000e-01,0.000000e+00,-6.68597e-05,-2.07042e-11,6.685969e-05,3.149490e-12,
3.600000e-01,1.000000e+00,1.000000e+00,3.600000e-01,0.000000e+00,-6.17688e-05,-1.88446e-11,6.176878e-05,2.918914e-12,
3.700000e-01,1.000000e+00,1.000000e+00,3.700000e-01,0.000000e+00,-5.67858e-05,-1.71169e-11,5.678579e-05,2.724802e-12,
3.800000e-01,1.000000e+00,1.000000e+00,3.800000e-01,0.000000e+00,-5.19262e-05,-1.55114e-11,5.192624e-05,2.561420e-12,
3.900000e-01,1.000000e+00,1.000000e+00,3.900000e-01,0.000000e+00,-4.72072e-05,-1.40202e-11,4.720721e-05,2.423955e-12,
4.000000e-01,1.000000e+00,1.000000e+00,4.000000e-01,0.000000e+00,-4.26472e-05,-1.26363e-11,4.264719e-05,2.308375e-12,
4.100000e-01,1.000000e+00,1.000000e+00,4.100000e-01,0.000000e+00,-3.82658e-05,-1.13534e-11,3.826581e-05,2.211304e-12,
4.200000e-01,1.000000e+00,1.000000e+00,4.200000e-01,0.000000e+00,-3.40834e-05,-1.01662e-11,3.408337e-05,2.129924e-12,
4.300000e-01,1.000000e+00,1.000000e+00,4.300000e-01,0.000000e+00,-3.01202e-05,-9.07030e-12,3.012024e-05,2.061883e-12,
4.400000e-01,1.000000e+00,1.000000e+00,4.400000e-01,0.000000e+00,-2.63961e-05,-8.06255e-12,2.639606e-05,2.005219e-12,
4.500000e-01,1.000000e+00,1.000000e+00,4.500000e-01,0.000000e+00,-2.29287e-05,-7.13984e-12,2.292875e-05,1.958296e-12,
4.600000e-01,1.000000e+00,1.000000e+00,4.600000e-01,0.000000e+00,-1.97335e-05,-6.30040e-12,1.973348e-05,1.919745e-12,
4.700000e-01,1.000000e+00,1.000000e+00,4.700000e-01,0.000000e+00,-1.68216e-05,-5.54212e-12,1.682161e-05,1.888417e-12,
4.800000e-01,1.000000e+00,1.000000e+00,4.800000e-01,0.000000e+00,-1.41996e-05,-4.86355e-12,1.419964e-05,1.863337e-12,
4.900000e-01,1.000000e+00,1.000000e+00,4.900000e-01,0.000000e+00,-1.18685e-05,-4.26259e-12,1.186849e-05,1.843675e-12,
5.000000e-01,1.000000e+00,1.000000e+00,5.000000e-01,0.000000e+00,-9.82313e-06,-3.73579e-12,9.823133e-06,1.828711e-12,
5.100000e-01,1.000000e+00,1.000000e+00,5.100000e-01,0.000000e+00,-8.05257e-06,-3.27927e-12,8.052574e-06,1.817813e-12,
5.200000e-01,1.000000e+00,1.000000e+00,5.200000e-01,0.000000e+00,-6.54046e-06,-2.88702e-12,6.540463e-06,1.810426e-12,
5.300000e-01,1.000000e+00,1.000000e+00,5.300000e-01,0.000000e+00,-5.26605e-06,-2.55196e-12,5.266050e-06,1.806051e-12,
5.400000e-01,1.000000e+00,1.000000e+00,5.400000e-01,0.000000e+00,-4.20550e-06,-2.26663e-12,4.205505e-06,1.804248e-12,
5.500000e-01,1.000000e+00,1.000000e+00,5.500000e-01,0.000000e+00,-3.33337e-06,-2.02305e-12,3.333369e-06,1.804621e-12,
5.600000e-01,1.000000e+00,1.000000e+00,5.600000e-01,0.000000e+00,-2.62396e-06,-1.81422e-12,2.623957e-06,1.806821e-12,
5.700000e-01,1.000000e+00,1.000000e+00,5.700000e-01,0.000000e+00,-2.05257e-06,-1.63380e-12,2.052567e-06,1.810544e-12,
5.800000e-01,1.000000e+00,1.000000e+00,5.800000e-01,0.000000e+00,-1.59637e-06,-1.47637e-12,1.596373e-06,1.815525e-12,
5.900000e-01,1.000000e+00,1.000000e+00,5.900000e-01,0.000000e+00,-1.23498e-06,-1.33737e-12,1.234977e-06,1.821536e-12,
6.000000e-01,1.000000e+00,1.000000e+00,6.000000e-01,0.000000e+00,-9.50660e-07,-1.21392e-12,9.506598e-07,1.828386e-12,
6.100000e-01,1.000000e+00,1.000000e+00,6.100000e-01,0.000000e+00,-7.28375e-07,-1.10267e-12,7.283739e-07,1.835913e-12,
6.200000e-01,1.000000e+00,1.000000e+00,6.200000e-01,0.000000e+00,-5.55577e-07,-1.00220e-12,5.555763e-07,1.843983e-12,
6.300000e-01,1.000000e+00,1.000000e+00,6.300000e-01,0.000000e+00,-4.21964e-07,-9.10716e-13,4.219634e-07,1.852485e-12,
6.400000e-01,1.000000e+00,1.000000e+00,6.400000e-01,0.000000e+00,-3.19172e-07,-8.27116e-13,3.191705e-07,1.861330e-12,
6.500000e-01,1.000000e+00,1.000000e+00,6.500000e-01,0.000000e+00,-2.40472e-07,-7.50289e-13,2.404705e-07,1.870444e-12,
6.600000e-01,1.000000e+00,1.000000e+00,6.600000e-01,0.000000e+00,-1.80498e-07,-6.79901e-13,1.804971e-07,1.879767e-12,
6.700000e-01,1.000000e+00,1.000000e+00,6.700000e-01,0.000000e+00,-1.35000e-07,-6.14619e-13,1.349992e-07,1.889253e-12,
6.800000e-01,1.000000e+00,1.000000e+00,6.800000e-01,0.000000e+00,-1.00633e-07,-5.54778e-13,1.006312e-07,1.898865e-12,
6.900000e-01,1.000000e+00,1.000000e+00,6.900000e-01,0.000000e+00,-7.47782e-08,-4.99489e-13,7.477682e-08,1.908573e-12,
7.000000e-01,1.000000e+00,1.000000e+00,7.000000e-01,0.000000e+00,-5.54039e-08,-4.48641e-13,5.540240e-08,1.918354e-12,
7.100000e-01,1.000000e+00,1.000000e+00,7.100000e-01,0.000000e+00,-4.09381e-08,-4.01679e-13,4.093660e-08,1.928190e-12,
7.200000e-01,1.000000e+00,1.000000e+00,7.200000e-01,0.000000e+00,-3.01739e-08,-3.58713e-13,3.017236e-08,1.938069e-12,
7.300000e-01,1.000000e+00,1.000000e+00,7.300000e-01,0.000000e+00,-2.21892e-08,-3.19300e-13,2.218760e-08,1.947978e-12,
7.400000e-01,1.000000e+00,1.000000e+00,7.400000e-01,0.000000e+00,-1.62833e-08,-2.83218e-13,1.628166e-08,1.957911e-12,
7.500000e-01,1.000000e+00,1.000000e+00,7.500000e-01,0.000000e+00,-1.19266e-08,-2.50244e-13,1.192484e-08,1.967862e-12,
7.600000e-01,1.000000e+00,1.000000e+00,7.600000e-01,0.000000e+00,-8.72029e-09,-2.20379e-13,8.718529e-09,1.977825e-12,
7.700000e-01,1.000000e+00,1.000000e+00,7.700000e-01,0.000000e+00,-6.36586e-09,-1.93401e-13,6.364067e-09,1.987798e-12,
7.800000e-01,1.000000e+00,1.000000e+00,7.800000e-01,0.000000e+00,-4.64039e-09,-1.68976e-13,4.638562e-09,1.997778e-12,
7.900000e-01,1.000000e+00,1.000000e+00,7.900000e-01,0.000000e+00,-3.37813e-09,-1.47438e-13,3.376270e-09,2.007763e-12,
8.000000e-01,1.000000e+00,1.000000e+00,8.000000e-01,0.000000e+00,-2.45624e-09,-1.28009e-13,2.454345e-09,2.017752e-12,
8.100000e-01,1.000000e+00,1.000000e+00,8.100000e-01,0.000000e+00,-1.78392e-09,-1.11244e-13,1.782006e-09,2.027744e-12,
8.200000e-01,1.000000e+00,1.000000e+00,8.200000e-01,0.000000e+00,-1.29428e-09,-9.69225e-14,1.292343e-09,2.037738e-12,
8.300000e-01,1.000000e+00,1.000000e+00,8.300000e-01,0.000000e+00,-9.38121e-10,-8.55982e-14,9.361593e-10,2.047733e-12,
8.400000e-01,1.000000e+00,1.000000e+00,8.400000e-01,0.000000e+00,-6.79340e-10,-8.08242e-14,6.773627e-10,2.057730e-12,
8.500000e-01,1.000000e+00,1.000000e+00,8.500000e-01,0.000000e+00,-4.91505e-10,-8.49321e-14,4.895224e-10,2.067727e-12,
8.600000e-01,1.000000e+00,1.000000e+00,8.600000e-01,0.000000e+00,-3.55294e-10,-9.21485e-14,3.533086e-10,2.077725e-12,
8.700000e-01,1.000000e+00,1.000000e+00,8.700000e-01,0.000000e+00,-2.56601e-10,-9.95870e-14,2.546131e-10,2.087723e-12,
8.800000e-01,1.000000e+00,1.000000e+00,8.800000e-01,0.000000e+00,-1.85145e-10,-1.06137e-13,1.831530e-10,2.097721e-12,
8.900000e-01,1.000000e+00,1.000000e+00,8.900000e-01,0.000000e+00,-1.33438e-10,-1.11799e-13,1.314419e-10,2.107720e-12,
9.000000e-01,1.000000e+00,1.000000e+00,9.000000e-01,0.000000e+00,-9.60354e-11,-1.16240e-13,9.403396e-11,2.117719e-12,
9.100000e-01,1.000000e+00,1.000000e+00,9.100000e-01,0.000000e+00,-6.89789e-11,-1.19460e-13,6.697062e-11,2.127718e-12,
9.200000e-01,1.000000e+00,1.000000e+00,9.200000e-01,0.000000e+00,-4.93918e-11,-1.21347e-13,4.737531e-11,2.137717e-12,
9.300000e-01,1.000000e+00,1.000000e+00,9.300000e-01,0.000000e+00,-3.51846e-11,-1.21458e-13,3.315835e-11,2.147716e-12,
9.400000e-01,1.000000e+00,1.000000e+00,9.400000e-01,0.000000e+00,-2.48416e-11,-1.20015e-13,2.280397e-11,2.157715e-12,
9.500000e-01,1.000000e+00,1.000000e+00,9.500000e-01,0.000000e+00,-1.72712e-11,-1.16906e-13,1.522036e-11,2.167715e-12,
9.600000e-01,1.000000e+00,1.000000e+00,9.600000e-01,0.000000e+00,-1.17021e-11,-1.11910e-13,9.636224e-12,2.177714e-12,
9.700000e-01,1.000000e+00,1.000000e+00,9.700000e-01,0.000000e+00,-7.60615e-12,-1.04805e-13,5.523211e-12,2.187713e-12,
9.800000e-01,1.000000e+00,1.000000e+00,9.800000e-01,0.000000e+00,-4.62688e-12,-9.54792e-14,2.524724e-12,2.197712e-12,
