Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.56561e-42,-2.40918e-45,-6.96017e-42,1.352818e-41,
5.000000e-02,5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,-4.65315e-06,7.376513e-15,4.653150e-06,1.007805e-14,
1.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.07980e-05,2.048858e-14,1.079805e-05,1.435637e-14,
1.500000e-01,1.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.69057e-05,4.112084e-14,1.690574e-05,1.736634e-14,
2.000000e-01,2.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.29333e-05,7.146971e-14,2.293332e-05,2.014284e-14,
2.500000e-01,2.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.88927e-05,1.142258e-13,2.889269e-05,2.283291e-14,
3.000000e-01,3.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.47823e-05,1.726710e-13,3.478232e-05,2.545238e-14,
3.500000e-01,3.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-4.05996e-05,2.507930e-13,4.059960e-05,2.800058e-14,
4.000000e-01,4.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-4.63433e-05,3.534199e-13,4.634329e-05,3.047638e-14,
4.500000e-01,4.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.20133e-05,4.863795e-13,5.201327e-05,3.287998e-14,
5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.76101e-05,6.566858e-13,5.761014e-05,3.521260e-14,
5.500000e-01,5.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.31349e-05,8.727573e-13,6.313489e-05,3.747670e-14,
6.000000e-01,6.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-6.85887e-05,1.144669e-12,6.858873e-05,3.968196e-14,
6.500000e-01,6.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-7.39729e-05,1.484385e-12,7.397293e-05,4.191157e-14,
7.000000e-01,7.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-7.92888e-05,1.905457e-12,7.928882e-05,4.498260e-14,
7.500000e-01,7.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-8.45377e-05,2.417374e-12,8.453773e-05,5.650170e-14,
8.000000e-01,8.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-8.97209e-05,2.993505e-12,8.972094e-05,1.234107e-13,
8.500000e-01,8.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-9.48397e-05,3.616739e-12,9.483974e-05,2.869114e-13,
9.000000e-01,9.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-9.98954e-05,4.437705e-12,9.989536e-05,4.249012e-13,
9.500000e-01,9.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.04889e-04,5.487596e-12,1.048890e-04,5.399183e-13,
1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.09822e-04,6.766803e-12,1.098218e-04,6.631793e-13,
